season_start_year,gini,financial_gini,champion,champion_pts,runner_up,runner_up_pts,margin,stability,financial_corr,hhi,mv_std,r2_value,era
2000,0.14826756496631366,,Manchester United,80,Arsenal FC,70,10,,,,,,Pre-Abramovich
2001,0.17194417709335896,,Arsenal FC,87,Liverpool FC,80,7,5.0,,,,,Pre-Abramovich
2002,0.15399999999999991,,Manchester United,83,Arsenal FC,78,5,5.0,,,,,Pre-Abramovich
2003,0.1528100775193797,,Arsenal FC,90,Chelsea FC,79,11,5.0,,,,,Abramovich
2004,0.17233009708737868,0.36132523306827524,Chelsea FC,95,Arsenal FC,83,12,4.0,-0.7282974148249558,0.07605119531674263,86.42766189740777,0.7642779520656974,Abramovich
2005,0.18969896519285045,0.3386398461051614,Chelsea FC,91,Manchester United,83,8,4.0,-0.740502441739629,0.07352356623916347,84.50505507146646,0.6787111530076921,Abramovich
2006,0.16314779270633384,0.3633474641236354,Manchester United,89,Chelsea FC,83,6,5.0,-0.727244832171608,0.07650294491298695,97.44009239689683,0.6716470063016013,Abramovich
2007,0.20461538461538464,0.32617940839314974,Manchester United,87,Chelsea FC,85,2,5.0,-0.7838681791551787,0.07054438854314092,104.1279051670285,0.7156544057113413,Abramovich
2008,0.18595397890699905,0.35405703558866763,Manchester United,90,Liverpool FC,86,4,6.0,-0.781220545206844,0.07210556367364529,122.28660964157758,0.77053344436428,Man City Enters
2009,0.20198067632850236,0.37004732995453216,Chelsea FC,86,Manchester United,85,1,4.0,-0.8403389007102792,0.07399478869891023,124.03824709275,0.7927879797530254,Man City Enters
2010,0.13182701652089412,0.3476851851851852,Manchester United,80,Chelsea FC,71,9,5.0,-0.8704169148425673,0.0710035061094645,125.4630249746493,0.8430243863622491,Man City Enters
2011,0.17865329512893968,0.38574312142353206,Manchester City,89,Manchester United,89,0,5.0,-0.8164803201566904,0.07796285995578718,137.03155317010211,0.7814518703617683,FFP Era
2012,0.1849806201550388,0.37119846634254317,Manchester United,89,Manchester City,78,11,5.0,-0.7660885189597844,0.0763765088893332,141.39253151105706,0.7743818820272802,FFP Era
2013,0.1975517890772127,0.37348768809510835,Manchester City,86,Liverpool FC,84,2,5.0,-0.7968871391996439,0.07641241049206275,150.59842362703327,0.7624649988257185,FFP Era
2014,0.1713944603629416,0.3786803024727263,Chelsea FC,87,Manchester City,79,8,5.0,-0.842981396878405,0.07640540290667118,157.01921645303898,0.8307661095766918,FFP Era
2015,0.16297192642787994,0.31833572456324877,Leicester City,81,Arsenal FC,71,10,4.0,-0.6265602118776178,0.06777982230870903,148.6096803631297,0.30807681888092375,FFP Era
2016,0.19971590909090908,0.3324523769830874,Chelsea FC,93,Tottenham Hotspur,86,7,4.0,-0.8652700557643526,0.06900083063772072,185.8972907166467,0.8912393856775834,TV Money Explosion
2017,0.19207492795389047,0.39222764569225443,Manchester City,100,Manchester United,81,19,6.0,-0.8360781600247805,0.07836779901372502,312.6895457495383,0.8754140416416333,TV Money Explosion
2018,0.21071094480823205,0.38070179911879887,Manchester City,98,Liverpool FC,97,1,6.0,-0.8825899560304928,0.07601579526840094,362.8110384643484,0.8238495382278771,TV Money Explosion
2019,0.17977099236641214,0.3592735057150016,Liverpool FC,99,Manchester City,81,18,5.0,-0.7896415011799914,0.07300033624857649,288.8142472356857,0.6787435435304409,TV Money Explosion
2020,0.17582781456953644,0.3383646115529144,Manchester City,86,Manchester United,74,12,5.0,-0.8657285197856454,0.06859507380520857,286.3861675210037,0.7074584012803088,State Ownership Maturity
2021,0.19705323193916335,0.30887077773255944,Manchester City,93,Liverpool FC,92,1,4.0,-0.8655968277871311,0.06559193277273775,267.4848197365108,0.811542705369064,State Ownership Maturity
2022,0.19026590693257361,0.23798897487543735,Manchester City,89,Arsenal FC,84,5,4.0,-0.6584745137961056,0.05985861155252939,257.847044317281,0.49221644948691057,State Ownership Maturity
2023,0.21596558317399617,0.2996739643187074,Manchester City,91,Arsenal FC,89,2,3.0,-0.8946687427434293,0.06515619624995578,344.86201019812944,0.8648262027431899,State Ownership Maturity
2024,0.1936485195797517,0.27338992144877383,Liverpool FC,84,Arsenal FC,74,10,5.0,-0.7254802960094278,0.06246421648794292,323.65103042596587,0.46678536456992636,State Ownership Maturity
